source,source_key,entity_type,release_window,window_start,window_end,entity_id,num_docs,inferred_log_docs,log_doc_rate
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,A,11,5,0.454545
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,AMQ Broker,155,32,0.206452
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,AMQ Clients,10,3,0.300000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,AMQ Documentation,13,1,0.076923
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,AMQ Interconnect,23,1,0.043478
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,AMQ Streams,36,8,0.222222
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,ActiveMQ,13,13,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,ActiveMQ (Read,11,2,0.181818
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,ActiveMQ .Net,4,3,0.750000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,ActiveMQ Artemis,32,32,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,ActiveMQ C++ Client,2,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Activity Streams,2,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Admin Experience,26,1,0.038462
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Advanced Roadmaps,7,7,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,AeroGear,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Aesh,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Agroal,2,1,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Airavata,9,4,0.444444
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Ambari,30,18,0.600000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache AGE,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache AWF (Retired),1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Any23,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Arrow,1503,273,0.181637
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache AsterixDB,9,7,0.777778
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Avro,50,30,0.600000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache BlueMarlin (Retired),1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Cassandra,114,47,0.412281
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Curator,10,2,0.200000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache DataLab,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache DataLab (Retired),7,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Datasketches,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Drill,28,22,0.785714
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Dubbo,30,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache EventMesh,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Fineract,35,11,0.314286
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Freemarker,4,2,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Gobblin,31,8,0.258065
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Gora,2,2,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache HAWQ,2,2,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Hop,35,35,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Hop (Retired),64,4,0.062500
