source,source_key,entity_type,release_window,window_start,window_end,window_entities,entities_with_logs,cumulative_log_entities,top10_share,inferred_log_docs
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,612,480,480,0.343012,9953
JIRA,jira,project,2021-05_to_2021-08,2021-05,2021-08,596,458,551,0.347803,9238
JIRA,jira,project,2021-09_to_2021-12,2021-09,2021-12,607,444,595,0.359206,8864
JIRA,jira,project,2022-01_to_2022-04,2022-01,2022-04,611,398,641,0.403149,7749
JIRA,jira,project,2022-05_to_2022-08,2022-05,2022-08,600,377,659,0.410482,7613
JIRA,jira,project,2022-09_to_2022-12,2022-09,2022-12,595,368,675,0.478782,8342
JIRA,jira,project,2023-01_to_2023-04,2023-01,2023-04,578,373,692,0.482606,8135
JIRA,jira,project,2023-05_to_2023-08,2023-05,2023-08,571,364,703,0.474559,7940
JIRA,jira,project,2023-09_to_2023-12,2023-09,2023-12,571,345,717,0.580674,9904
JIRA,jira,project,2024-01_to_2024-04,2024-01,2024-04,583,353,730,0.512278,9122
JIRA,jira,project,2024-05_to_2024-08,2024-05,2024-08,537,344,744,0.533948,9441
JIRA,jira,project,2024-09_to_2024-12,2024-09,2024-12,548,357,753,0.530152,8905
JIRA,jira,project,2025-01_to_2025-04,2025-01,2025-04,558,338,763,0.506565,9215
JIRA,jira,project,2025-05_to_2025-08,2025-05,2025-08,494,299,771,0.542542,8615
JIRA,jira,project,2025-09_to_2025-12,2025-09,2025-12,478,292,775,0.539793,8318
